GR;Sub;Menthe;Lavande;Chlore;Pierre;Aluminium;Gazon;Assiette;Miel;Pêche;Riz;Encens;Low_olfa(Pierr-Alu-Ass-Riz);Low_olfa(Pierre_Alu_Ass);Middle_olfa(Gazon-Miel_peche);Middle (Riz-Gazon-Miel_peche);High_olfa(Menthe-Lav-Chore-Enc);High_olfa(Menthe-Lav-Chore)
ANO;1;0,902817262;0,361567419;0,650359693;0,043599419;0,124622461;0,537643098;0,086519828;0,26162949;0,216654301;0,156571728;0,732809872;0,102828359;0,084913903;0,338642296;0,293124654;0,661888561;0,638248125
ANO;2;0,661461956;0,733165758;0,820088241;0,188714217;0,271184556;0,447480215;0,062593288;0,544293912;0,358705824;0,121099948;0,899895891;0,160898002;0,17416402;0,450159984;0,367894975;0,778652962;0,738238652
ANO;3;0,802971463;0,573712358;0,462400119;0,076414641;0,1819531;0,410579195;0,137681657;0,23751498;0,344295059;0,293174457;NaN;0,172305964;0,132016466;0,330796411;0,321390923;0,61302798;0,61302798
ANO;4;0,895828981;0,506534203;0,862975082;0,050397043;0,154476568;NaN;0,072072149;0,222689153;0,184839026;0,125054181;NaN;0,100499985;0,092315253;0,20376409;0,177527453;0,755112756;0,755112755
ANO;5;0,755358244;0,816440974;0,598026534;0,256411674;0,102877019;0,686407728;0,155718091;0,464480784;0,524154562;0,203708303;0,88997298;0,179678772;0,171668928;0,558347691;0,469687844;0,764949683;0,723275251
ANO;6;0,529604777;0,584273021;1;0,091877451;0,048482444;0,420285472;0;0,466194201;0,368457894;0,138290445;0,943589521;0,069662585;0,046786632;0,418312522;0,348307003;0,76436683;0,704625933
ANO;7;0,546456199;0,696656544;0,785724464;0,035427531;0,160018042;0,437236077;0,076840207;0,373453256;0,296060724;0,248398943;0,906059214;0,130171181;0,090761927;0,368916686;0,33878725;0,733724105;0,676279069
ANO;8;0,878196335;0,849081729;0,819055091;0,104700512;0,140892113;0,573025775;0,035343303;0,453758661;NaN;0,168905258;0,948791943;0,112460296;0,093645309;0,513392218;0,398563231;0,873781274;0,848777718
ANO;9;0,427645884;0,487708758;0,877269072;0,108604621;0,157427587;0,237237854;0,064134206;0,278480994;0,339284558;0,199362892;0,918171732;0,132382327;0,110055471;0,285001135;0,263591575;0,677698861;0,597541238
ANO;10;0,560878575;0,505503839;0,419905227;0,072898015;0,207700745;0,329492768;0,035530061;0,118629298;0,266240124;0,380646095;NaN;0,174193729;0,105376274;0,23812073;0,273752071;NaN;0,495429214
ANO;11;0,782378725;0,893376595;0,841582582;0,104280273;0,150212735;0,729236348;0,059312784;0,516851946;0,189136987;NaN;0,929706008;0,104601931;0,104601931;0,478408427;0,478408427;0,861760978;0,839112634
ANO;12;0,766927365;0,876760657;0,718145655;0,049708714;0,200476934;0,821524393;0,096828827;0,647912852;0,600369712;0,145225699;0,915016685;0,123060043;0,115671492;0,689935652;0,553758164;0,81921259;0,787277892
ANO;13;0,664939;0,750334638;0,931047395;0,096811233;0,184814998;0,57633531;0,040844038;0,477193094;0,372874189;0,275354857;0,846613145;0,149456282;0,10749009;0,475467531;0,425439363;0,798233545;0,782107011
ANO;14;0,774634468;0,693944194;0,83562482;0,213716705;NaN;0,552080115;0,122057024;0,628185659;0,38736113;0,30529829;0,901453804;0,213690673;0,167886865;0,522542301;0,468231299;0,801414321;0,768067827
ANO;16;0,734842915;0,809007347;0,425745615;0,128607155;0,280255157;0,474255754;0,188060992;0,553014631;0,359972134;0,065239886;0,857888849;0,165540798;0,198974435;0,462414173;0,363120601;0,706871182;0,656531959
ANO;17;0,817941041;0,693162516;0,619330532;0,069515515;0,306304655;0,56003509;0,035123925;0,486130579;0,442672882;0,389424957;0,759789536;0,200092263;0,136981365;0,496279517;0,469565877;0,722555906;0,710144696
ANO;18;0,842672685;0,716734255;0,776718759;0,220626999;0,058303562;0,635904436;0,140916362;0,396601625;0,526277821;0,298546833;0,909104924;0,179598439;0,139948974;0,519594627;0,464332679;0,811307656;0,778708566
ANO;19;0,705646954;0,757130525;0,927023408;0,153482588;NaN;0,641647902;0,084794313;0,36587093;0,461452178;0,256817036;0,81827233;0,165031312;0,119138451;0,489657003;0,431447012;0,802018304;0,796600296
ANO;20;0,727859312;0,668955767;0,92781119;0,091809678;0,133920604;0,84118298;0,04696157;0,537876299;0,382069792;0,180021849;0,886122754;0,113178425;0,090897284;0,587043024;0,48528773;0,802687256;0,774875423
